COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antibes,M,Gabriel,,0,0,0,0,8,0,0,0,0,0,0
Antibes,M,Raphaël,,0,0,0,0,8,0,0,0,0,0,0
Antibes,F,Emma,,0,0,0,0,7,0,0,0,0,0,0
Antibes,F,Giulia,,0,0,0,0,7,0,0,0,0,0,0
Antibes,M,Ethan,,0,0,0,0,7,0,0,0,0,0,0
Antibes,F,Mila,,0,0,0,0,6,0,0,0,0,0,0
Antibes,F,Sofia,,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Arthur,,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Ayoub,,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Ilyes,,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Léo,,0,0,0,0,6,0,0,0,0,0,0
Paris,M,Raphaël,,0,0,0,0,342,0,0,0,0,0,0
Paris,F,Louise,,0,0,0,0,291,0,0,0,0,0,0
Paris,F,Emma,,0,0,0,0,209,0,0,0,0,0,0
Paris,M,Adam,,0,0,0,0,353,0,0,0,0,0,0
Paris,F,Alice,,0,0,0,0,208,0,0,0,0,0,0
Paris,M,Gabriel,,0,0,0,0,370,0,0,0,0,0,0
Antibes,M,Adam,,0,0,0,0,0,11,0,0,0,0,0
Antibes,F,Emma,,0,0,0,0,0,10,0,0,0,0,0
Antibes,M,Tiago,,0,0,0,0,0,10,0,0,0,0,0
Antibes,M,Gabriel,,0,0,0,0,0,8,0,0,0,0,0
Antibes,F,Mila,,0,0,0,0,0,8,0,0,0,0,0
Antibes,M,Mohamed,,0,0,0,0,0,8,0,0,0,0,0
Antibes,M,Raphaël,,0,0,0,0,0,8,0,0,0,0,0
Antibes,F,Julia,,0,0,0,0,0,7,0,0,0,0,0
Antibes,F,Nour,,0,0,0,0,0,7,0,0,0,0,0
Paris,M,Raphaël,,0,0,0,0,0,290,0,0,0,0,0
Paris,F,Chloé,,0,0,0,0,0,191,0,0,0,0,0
Paris,F,Alice,,0,0,0,0,0,201,0,0,0,0,0
Paris,F,Louise,,0,0,0,0,0,221,0,0,0,0,0
Paris,M,Adam,,0,0,0,0,0,318,0,0,0,0,0
Paris,M,Gabriel,,0,0,0,0,0,379,0,0,0,0,0
Antibes,M,Gabriel,,0,0,0,0,0,0,12,0,0,0,0
Antibes,F,Chloé,,0,0,0,0,0,0,9,0,0,0,0
Antibes,M,Adam,,0,0,0,0,0,0,7,0,0,0,0
Antibes,M,Raphaël,,0,0,0,0,0,0,7,0,0,0,0
Antibes,F,Lucie,,0,0,0,0,0,0,6,0,0,0,0
Antibes,M,Youssef,,0,0,0,0,0,0,6,0,0,0,0
Antibes,F,Alice,,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Charlotte,,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Emma,,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Lina,,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Mila,,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Nina,,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Sofia,,0,0,0,0,0,0,5,0,0,0,0
Paris,M,Adam,,0,0,0,0,0,0,301,0,0,0,0
Paris,F,Louise,,0,0,0,0,0,0,226,0,0,0,0
Paris,M,Gabriel,,0,0,0,0,0,0,338,0,0,0,0
Paris,F,Alice,,0,0,0,0,0,0,199,0,0,0,0
Paris,F,Emma,,0,0,0,0,0,0,189,0,0,0,0
Paris,M,Arthur,,0,0,0,0,0,0,264,0,0,0,0
Antibes,F,Mia,,0,0,0,0,0,0,0,8,0,0,0
Antibes,F,Rose,,0,0,0,0,0,0,0,8,0,0,0
Antibes,F,Léa,,0,0,0,0,0,0,0,7,0,0,0
Antibes,M,Adam,,0,0,0,0,0,0,0,7,0,0,0
Antibes,M,Léo,,0,0,0,0,0,0,0,7,0,0,0
