COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Paris,F,Chloé,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,236,0,0,0,0,0,0,0,0,0
Paris,M,Raphaël,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,280,0,0,0,0,0,0,0,0,0
Antibes,M,Enzo,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,8,0,0,0,0,0,0,0,0
Antibes,F,Léa,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,7,0,0,0,0,0,0,0,0
Antibes,M,Adam,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,7,0,0,0,0,0,0,0,0
Antibes,F,Chloé,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,F,Clara,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,F,Eva,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,M,Hugo,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,M,Mathis,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,M,Mohamed,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,M,Tom,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,M,Youssef,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,6,0,0,0,0,0,0,0,0
Antibes,F,Jade,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,5,0,0,0,0,0,0,0,0
Antibes,F,Lucie,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,5,0,0,0,0,0,0,0,0
Antibes,F,Mila,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,5,0,0,0,0,0,0,0,0
Antibes,F,Nina,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,5,0,0,0,0,0,0,0,0
Paris,M,Gabriel,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,369,0,0,0,0,0,0,0,0
Paris,F,Inès,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,211,0,0,0,0,0,0,0,0
Paris,F,Louise,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,310,0,0,0,0,0,0,0,0
Paris,M,Raphaël,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,316,0,0,0,0,0,0,0,0
Paris,M,Adam,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,344,0,0,0,0,0,0,0,0
Paris,F,Chloé,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,0,0,0,0,0
Antibes,M,Adam,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,9,0,0,0,0,0,0,0
Antibes,F,Nour,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,8,0,0,0,0,0,0,0
Antibes,M,Mohamed,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,7,0,0,0,0,0,0,0
Antibes,M,Nolan,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,7,0,0,0,0,0,0,0
Antibes,F,Lucie,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,6,0,0,0,0,0,0,0
Antibes,F,Yasmine,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,6,0,0,0,0,0,0,0
Antibes,M,Gabriel,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,6,0,0,0,0,0,0,0
Antibes,M,Léo,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,6,0,0,0,0,0,0,0
Antibes,M,Nathan,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,6,0,0,0,0,0,0,0
Antibes,M,Valentin,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,6,0,0,0,0,0,0,0
Antibes,F,Alice,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Anna,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Chloé,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Kenza,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Léa,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Mia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Mila,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Antibes,F,Sarah,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,5,0,0,0,0,0,0,0
Paris,F,Louise,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,292,0,0,0,0,0,0,0
Paris,F,Alice,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,245,0,0,0,0,0,0,0
Paris,F,Chloé,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,206,0,0,0,0,0,0,0
Paris,M,Gabriel,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,355,0,0,0,0,0,0,0
Paris,M,Adam,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,356,0,0,0,0,0,0,0
Paris,M,Raphaël,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,320,0,0,0,0,0,0,0
Antibes,F,Lina,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,8,0,0,0,0,0,0
Antibes,M,Gabriel,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,8,0,0,0,0,0,0
Antibes,M,Raphaël,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,8,0,0,0,0,0,0
Antibes,F,Emma,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,7,0,0,0,0,0,0
Antibes,F,Giulia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,7,0,0,0,0,0,0
Antibes,M,Ethan,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,7,0,0,0,0,0,0
Antibes,F,Mila,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,6,0,0,0,0,0,0
Antibes,F,Sofia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Arthur,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Ayoub,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Ilyes,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,6,0,0,0,0,0,0
Antibes,M,Léo,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,6,0,0,0,0,0,0
Paris,M,Raphaël,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,342,0,0,0,0,0,0
Paris,F,Louise,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,291,0,0,0,0,0,0
Paris,F,Emma,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,209,0,0,0,0,0,0
Paris,M,Adam,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,353,0,0,0,0,0,0
Paris,F,Alice,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,208,0,0,0,0,0,0
Paris,M,Gabriel,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,370,0,0,0,0,0,0
Antibes,M,Adam,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,11,0,0,0,0,0
Antibes,F,Emma,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,10,0,0,0,0,0
Antibes,M,Tiago,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,10,0,0,0,0,0
Antibes,M,Gabriel,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,8,0,0,0,0,0
Antibes,F,Mila,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,8,0,0,0,0,0
Antibes,M,Mohamed,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,8,0,0,0,0,0
Antibes,M,Raphaël,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,8,0,0,0,0,0
Antibes,F,Julia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,7,0,0,0,0,0
Antibes,F,Nour,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,7,0,0,0,0,0
Paris,M,Raphaël,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,290,0,0,0,0,0
Paris,F,Chloé,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,191,0,0,0,0,0
Paris,F,Alice,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,201,0,0,0,0,0
Paris,F,Louise,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,221,0,0,0,0,0
Paris,M,Adam,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,318,0,0,0,0,0
Paris,M,Gabriel,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,379,0,0,0,0,0
Antibes,M,Gabriel,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,12,0,0,0,0
Antibes,F,Chloé,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,9,0,0,0,0
Antibes,M,Adam,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,7,0,0,0,0
Antibes,M,Raphaël,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,7,0,0,0,0
Antibes,F,Lucie,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,6,0,0,0,0
Antibes,M,Youssef,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,6,0,0,0,0
Antibes,F,Alice,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
