Nombre prénoms déclarés;Sexe;Annee;Prenoms;Nombre total cumule par annee
6;F;2015;Loïs;6
8;F;2015;Ludivine;8
5;F;2015;Lyah;5
8;F;2015;Lylia;8
5;M;2015;Mady;5
5;F;2015;Maëlie;5
8;F;2015;Mahault;8
12;M;2015;Mateo;12
31;M;2015;Mathias;31
9;M;2015;Matisse;9
7;M;2015;Matthew;7
6;F;2015;May;6
6;M;2015;Michel;6
30;F;2015;Noa;46
7;M;2015;Nohé;7
27;M;2015;Omar;27
5;F;2015;Ornella;5
133;M;2015;Oscar;133
5;F;2015;Romaïssa;5
23;M;2015;Roméo;23
104;M;2015;Samuel;104
35;M;2015;Samy;35
37;F;2015;Sasha;56
14;F;2015;Sienna;14
7;F;2015;Simone;7
58;F;2015;Sophia;58
25;M;2015;Timothé;25
7;F;2015;Vera;7
8;M;2015;Yannis;8
27;M;2015;Younes;27
5;M;2015;Zack;5
12;M;2015;Zadig;12
118;F;2015;Zoé;118
56;M;2016;Achille;56
5;M;2016;Adriel;5
8;F;2016;Amel;8
8;M;2016;Andréa;8
9;M;2016;Archibald;9
38;M;2016;Armand;38
22;M;2016;Aurélien;22
38;F;2016;Blanche;38
17;F;2016;Camélia;17
17;F;2016;Céline;17
9;M;2016;Constant;9
8;M;2016;Damien;8
11;M;2016;Dan;11
5;M;2016;Éden;5
15;F;2016;Emmanuelle;15
7;F;2016;Eulalie;7
8;F;2016;Ève;8
5;M;2016;Fadi;5
5;F;2016;Geneviève;5
5;M;2016;Gianni;5
22;M;2016;Grégoire;22
10;F;2016;Helena;10
11;M;2016;Ilian;11
45;M;2016;Issa;45
175;M;2016;Joseph;175
14;F;2016;Judith;14
91;F;2016;Julia;91
5;F;2016;Kadidia;5
38;M;2016;Kaïs;38
6;M;2016;Karim;6
42;F;2016;Lana;42
23;M;2016;Léandre;23
49;M;2016;Léonard;49
5;F;2016;Linda;5
5;M;2016;Loïs;5
25;M;2016;Lorenzo;25
8;F;2016;Ludivine;8
5;F;2016;Lyne;5
8;F;2016;Maïlys;8
9;M;2016;Malick;9
18;M;2016;Malik;18
31;F;2016;Maryam;31
15;M;2016;Mateo;15
69;M;2016;Mathis;69
7;M;2016;Matisse;7
8;F;2016;Mayline;8
26;F;2016;Mélissa;26
14;M;2016;Melvil;14
7;M;2016;Muhammad;7
6;M;2016;Nahyl;6
11;M;2016;Naïl;11
11;F;2016;Neïla;11
5;F;2016;Noah;145
65;F;2016;Nour;72
43;M;2016;Pierre;43
12;F;2016;Prune;12
5;F;2016;Rafaela;5
342;M;2016;Raphaël;342
5;M;2016;Ryad;5
164;F;2016;Sarah;164
8;F;2016;Sira;8
14;M;2016;Soan;14
7;F;2016;Tal;7
19;M;2016;Timothé;19
41;M;2016;Tristan;41
11;M;2016;Viktor;11
5;M;2016;Yacoub;5
5;M;2016;Zéphyr;5
5;M;2017;Adonis;5
72;M;2017;Adrien;72
50;F;2017;Aïcha;50
6;F;2017;Alana;6
19;F;2017;Aliyah;19
7;F;2017;Alyah;7
21;M;2017;Ambroise;21
22;F;2017;Amira;22
17;F;2017;Anaëlle;17
7;M;2017;Andy;7
6;F;2017;Armance;6
161;M;2017;Augustin;161
26;F;2017;Awa;26
27;M;2017;Aymen;27
19;M;2017;Balthazar;19
20;F;2017;Billie;20
16;F;2017;Charline;16
11;M;2017;Cheikh;11
9;F;2017;Dahlia;9
18;F;2017;Eléa;18
45;F;2017;Elisa;45
11;M;2017;Elyes;11
46;M;2017;Ernest;46
10;F;2017;Ethel;10
101;F;2017;Eva;101
30;M;2017;Hadrien;30
7;M;2017;Haron;7
5;F;2017;Helena;5
39;M;2017;Issa;39
28;M;2017;Jayden;28
6;M;2017;Jérémie;6
9;F;2017;Joyce;9
22;M;2017;Julien;22
6;F;2017;Laure;6
5;F;2017;Laurine;5
5;M;2017;Lazar;5
7;F;2017;Liya;7
22;M;2017;Luka;22
64;F;2017;Madeleine;64
17;F;2017;Mahaut;17
20;M;2017;Malik;20
8;M;2017;Marcello;8
105;F;2017;Margaux;105
55;F;2017;Mariam;55
9;F;2017;Marion;9
20;M;2017;Mathias;20
20;M;2017;Matthieu;20
5;F;2017;Nana;5
28;M;2017;Nassim;28
5;M;2017;Nayel;5
7;F;2017;Nelia;7
5;F;2017;Nicole;5
5;F;2017;Nourane;5
14;M;2017;Raphael;14
12;F;2017;Salimata;12
5;M;2017;Sidney;5
13;M;2017;Soren;13
25;M;2017;Souleymane;25
32;F;2017;Thelma;32
64;M;2017;Ulysse;64
20;F;2017;Violette;20
13;M;2017;Wael;13
19;M;2017;Yann;19
10;M;2017;Zakarya;10
5;M;2018;Abdoul-Aziz;5
10;F;2018;Aimée;10
10;M;2018;Albin;10
7;F;2018;Angèle;7
5;M;2018;Anir;5
11;F;2018;Asma;11
